question,answer
What are hooks in React?,Hooks are functions that enable functional components in React to use state and other React features without writing a class.
What is Node.js?,"Node.js is a runtime environment for executing JavaScript code outside of a web browser, allowing server-side programming using JavaScript."
What is npm?,"npm (Node Package Manager) is a package manager for Node.js, used to install, manage, and share JavaScript libraries and tools."
How do you install Node.js?,You can download and install Node.js from the official website or use a package manager like npm or yarn.
How do you create a new npm package?,"You can initialize a new npm package by running `npm init` in your project directory and following the prompts, or use `npm init --yes` for a quick setup with default values."
What is the purpose of package.json in Node.js?,"package.json is a metadata file used to describe a Node.js package, including its name, version, dependencies, scripts, and other metadata."
How do you install dependencies using npm?,"You can install dependencies listed in the package.json file by running `npm install`, optionally with the `--save` or `--save-dev` flags to save them as dependencies or development dependencies, respectively."
What is the difference between dependencies and devDependencies in package.json?,"Dependencies are required for the runtime functionality of the application, while devDependencies are only needed for development and testing purposes."
How do you publish a package to the npm registry?,You can publish a package to the npm registry by running `npm publish` in the root directory of your package after logging in with your npm account using `npm login`.
What is npm CLI?,"npm CLI (Command Line Interface) is a set of command-line tools provided by npm for managing Node.js packages, including installing, publishing, updating, and managing dependencies."
How do you update npm to the latest version?,You can update npm to the latest version by running `npm install -g npm` to install the latest npm package globally.
What is Node.js?,"Node.js is a runtime environment for executing JavaScript code outside of a web browser, allowing server-side programming using JavaScript."
What is npm?,"npm (Node Package Manager) is a package manager for Node.js, used to install, manage, and share JavaScript libraries and tools."
How do you install Node.js?,You can download and install Node.js from the official website or use a package manager like npm or yarn.
How do you create a new npm package?,"You can initialize a new npm package by running `npm init` in your project directory and following the prompts, or use `npm init --yes` for a quick setup with default values."
What is the purpose of package.json in Node.js?,"package.json is a metadata file used to describe a Node.js package, including its name, version, dependencies, scripts, and other metadata."
How do you install dependencies using npm?,"You can install dependencies listed in the package.json file by running `npm install`, optionally with the `--save` or `--save-dev` flags to save them as dependencies or development dependencies, respectively."
What is the difference between dependencies and devDependencies in package.json?,"Dependencies are required for the runtime functionality of the application, while devDependencies are only needed for development and testing purposes."
How do you publish a package to the npm registry?,You can publish a package to the npm registry by running `npm publish` in the root directory of your package after logging in with your npm account using `npm login`.
What is npm CLI?,"npm CLI (Command Line Interface) is a set of command-line tools provided by npm for managing Node.js packages, including installing, publishing, updating, and managing dependencies."
How do you update npm to the latest version?,You can update npm to the latest version by running `npm install -g npm` to install the latest npm package globally.
What is Mongoose?,"Mongoose is an Object Data Modeling (ODM) library for MongoDB and Node.js, designed to work with MongoDB's document-oriented nature."
How do you connect to MongoDB using Mongoose?,You can connect to MongoDB using Mongoose by calling the `mongoose.connect()` method and passing the MongoDB connection URI.
What are schemas in Mongoose?,"Schemas in Mongoose define the structure of documents within a collection, including the fields, data types, and validation rules."
How do you define models in Mongoose?,You can define models in Mongoose by creating a Mongoose schema and then compiling it into a model using the `mongoose.model()` method.
What are virtuals in Mongoose?,Virtuals in Mongoose are document properties that are not persisted to the database but are computed properties based on other fields.
How do you perform CRUD operations with Mongoose?,"You can perform CRUD operations with Mongoose using methods like `save()` for creating, `find()` for reading, `updateOne()` for updating, and `deleteOne()` for deleting documents."
What is middleware in Mongoose?,"Middleware in Mongoose are functions that are executed before or after certain operations, such as validation, saving, or removing documents."
How do you handle relationships in Mongoose?,"You can handle relationships in Mongoose using references or embedding, where you either reference documents from other collections or embed them directly within documents."
What is population in Mongoose?,"Population in Mongoose is the process of automatically replacing specified paths in a document with documents from other collections, based on specified criteria."
How do you handle transactions in Mongoose?,"You can handle transactions in Mongoose using the `Session` object, which allows you to perform multiple operations within a transaction and either commit or abort the transaction."
What is Next.js?,Next.js is a React framework for building server-side rendered and statically generated web applications.
What are the key features of Next.js?,"Key features include automatic code splitting, server-side rendering, static exporting, file-based routing, and API routes."
How do you create a new Next.js app?,"You can create a new Next.js app by running `npx create-next-app` in your terminal and following the prompts, or use `yarn create next-app` if you prefer Yarn."
What is server-side rendering (SSR) in Next.js?,"Server-side rendering in Next.js is the process of generating the initial HTML for a page on the server, allowing faster initial page loads and improved SEO."
What is static site generation (SSG) in Next.js?,"Static site generation in Next.js is the process of pre-rendering pages at build time, resulting in HTML files that can be served statically, improving performance and scalability."
How do you create dynamic routes in Next.js?,"You can create dynamic routes in Next.js by adding square brackets `[]` to a page filename in the `pages` directory, indicating that it's a dynamic route, and accessing the route parameters using `useRouter()` hook."
What are API routes in Next.js?,API routes in Next.js are special files inside the `pages/api` directory that allow you to build serverless API endpoints using Node.js and Express-like syntax.
How do you deploy a Next.js app?,"You can deploy a Next.js app to various hosting platforms like Vercel, Netlify, or AWS by running `next build` to generate a production build, followed by deploying the generated `/.next` directory."
What is the difference between `getStaticProps` and `getServerSideProps` in Next.js?,"`getStaticProps` is used for static site generation (SSG) and runs at build time, while `getServerSideProps` is used for server-side rendering (SSR) and runs on every request."
How do you handle authentication in Next.js?,"You can handle authentication in Next.js using libraries like NextAuth.js, Auth0, or by implementing your custom authentication logic using session management or JWT tokens."
What is Axios?,"Axios is a popular JavaScript library for making HTTP requests from the browser and Node.js, featuring easy-to-use API, promise-based asynchronous requests, and automatic JSON parsing."
How do you install Axios?,You can install Axios via npm or yarn by running `npm install axios` or `yarn add axios` in your project directory.
How do you make a GET request using Axios?,You can make a GET request using Axios by calling the `axios.get()` method and passing the URL as an argument.
How do you make a POST request using Axios?,You can make a POST request using Axios by calling the `axios.post()` method and passing the URL and data payload as arguments.
What is the Axios interceptor?,"Axios interceptor is a middleware mechanism that allows you to intercept and modify HTTP requests or responses globally, applying custom logic such as adding headers or logging."
How do you handle errors with Axios?,"You can handle errors with Axios by using the `.catch()` method on the promise returned by the request, and implementing error handling logic inside the catch block."
How do you configure Axios to use base URL?,You can configure Axios to use a base URL for all requests by creating an Axios instance with custom configuration using `axios.create()` and setting the `baseURL` option.
What is Axios cancellation?,"Axios cancellation is the ability to cancel pending HTTP requests to prevent them from completing or executing callbacks, useful for scenarios like user navigation or component unmounting."
How do you send HTTP headers with Axios requests?,You can send HTTP headers with Axios requests by passing a headers object containing key-value pairs of headers as an optional argument to the request methods like `axios.get()` or `axios.post()`.
How do you upload files using Axios?,"You can upload files using Axios by creating a FormData object, appending files to it, and then sending it in a POST request using `axios.post()` with the FormData object as the data payload."
What is Tailwind CSS?,"Tailwind CSS is a utility-first CSS framework for building custom designs without writing CSS, featuring a low-level utility class approach and customizable design system."
How do you install Tailwind CSS?,"You can install Tailwind CSS via npm or yarn by running `npm install tailwindcss` or `yarn add tailwindcss` in your project directory, followed by configuring it for your build process."
What is a utility class in Tailwind CSS?,"A utility class in Tailwind CSS is a CSS class that applies a single CSS property or a set of related CSS properties using a specific naming convention, allowing rapid prototyping and customization."
How do you configure Tailwind CSS?,"You can configure Tailwind CSS by creating a `tailwind.config.js` file in your project directory and customizing various configuration options such as colors, typography, spacing, and more."
What is JIT mode in Tailwind CSS?,"JIT (Just-In-Time) mode in Tailwind CSS is a build mode that dynamically generates CSS on-demand as you write HTML, allowing for faster development and smaller bundle sizes."
How do you use responsive design with Tailwind CSS?,"You can use responsive design with Tailwind CSS by adding responsive utility classes like `sm:`, `md:`, `lg:`, and `xl:` to apply styles at specific breakpoints, or by using the `@media` directive in custom CSS."
What is the purpose of PurgeCSS in Tailwind CSS?,"PurgeCSS is a tool used to remove unused CSS styles from your production bundle, reducing the file size and improving performance by only including the styles that are actually used."
How do you extend Tailwind CSS with custom styles?,"You can extend Tailwind CSS with custom styles by using the `@layer` directive to insert custom CSS rules at specific layers in the generated stylesheet, or by using plugins to add new utility classes or components."
What are the advantages of Tailwind CSS?,"Advantages include rapid prototyping, consistent design system, reduced need for writing custom CSS, improved developer experience, and easier collaboration between designers and developers."
How do you integrate Tailwind CSS with frameworks like React or Vue.js?,"You can integrate Tailwind CSS with frameworks like React or Vue.js by installing the necessary dependencies, configuring Tailwind CSS for your build process, and using utility classes directly in your components."
What is Vite?,"Vite is a next-generation frontend build tool for modern web development, designed to provide faster development server startup, instant hot module replacement (HMR), and optimized production builds."
How do you create a new project with Vite?,"You can create a new project with Vite by running `npm init @vitejs/app` or `yarn create @vitejs/app` and selecting a template like Vue, React, or Vanilla JavaScript, followed by configuring the project settings."
What is the purpose of Vite's dev server?,"Vite's dev server provides a fast development environment with instant server startup, optimized build times, and hot module replacement (HMR) for fast feedback during development."
How does Vite achieve faster development server startup?,"Vite achieves faster development server startup by leveraging ES module imports, serving code directly from source files without bundling, and using optimized development server architecture."
What is HMR (Hot Module Replacement) in Vite?,"HMR (Hot Module Replacement) in Vite is a feature that updates modules in the browser without a full page reload, providing a faster development experience by preserving application state."
How do you configure Vite for production builds?,"You can configure Vite for production builds by customizing the `vite.config.js` file, optimizing build settings, and running `vite build` to generate optimized production assets."
What is Vite's plugin system?,"Vite's plugin system allows developers to extend Vite's functionality by writing custom plugins, which can modify the build pipeline, provide custom features, or integrate with third-party tools."
How do you use Vite with frameworks like Vue.js or React?,"You can use Vite with frameworks like Vue.js or React by installing the necessary dependencies, configuring Vite to support the framework's development environment, and creating project files using the framework's conventions."
What are the advantages of using Vite?,"Advantages include faster development server startup, instant hot module replacement (HMR), optimized production builds, ES module support, and seamless integration with modern frontend frameworks."
How does Vite compare to other build tools like webpack or Rollup?,"Vite provides faster development server startup and hot module replacement (HMR) compared to webpack and Rollup, thanks to its use of ES module imports and optimized development server architecture."
